Account Address,Grade Coin Balance,ETH Balance
0x15555AEb973235E2c9ccb6687320AeA86A8cCa04,0,99.99342258405902446
0x3C3388C76A525Fd9Fee5944666194e604342133f,0,100
0x46e3d35b6e1E747164d4a1BF81B7673C443c2240,0,100
0x4D5B76087c067509625D359706f69569cFBcf293,0,0
0x55e02d4d920d2311e0113a584Ae18D2F314e6EA2,0,99.999999522142022101
0x6E50d75176434e4f7059d5efB9601e6ad961DD5B,0,0
0x6b469cCdD5d4fC57E707Fef6c494cF16253550eE,0,0
0x94B901Ff6D2EEa0CC898a984ABCD131B9794ae65,0,100
0x9a6537190adbAeCDB31Feb195E5350ae2Fe627aD,0,99.999999898593009904
0xB0Bfe325e98C8aC2f593CA0CA116eF5E98c855e1,0,100
0xC330cdecEc14397d0d42821330CFD40D10DBc9ef,100,99.999979258931204593
0xdCD343Dd61D8d63A26d89c2C90Eab1417AB70ad6,0,100
0xfE7EE006730970a216B665968A67CE3A7a3dA9de,0,99.999983700047422236
